,Unnamed: 0,cust_id,activated_date,last_payment_date,balance,balance_frequency,purchases,oneoff_purchases,installments_purchases,cash_advance,purchases_frequency,oneoff_purchases_frequency,purchases_installments_frequency,cash_advance_frequency,cash_advance_trx,purchases_trx,credit_limit,payments,minimum_payments,prc_full_payment,tenure,fraud,Year_ad,Month,activated_datec,last_payment_datec,cash/credit_limit,Year_lpd
0,1,C10001,2019-10-06,2020-09-09,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.50978700000002,0.0,12,0,2019.0,10.0,2019-10,2020-09-09,0.0,2020.0
1,2,C10002,2019-10-06,2020-07-04,3202.467416,0.909091,0.0,0.0,0.0,6442.9454829999995,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032596999999,1072.340217,0.22222199999999998,12,0,2019.0,10.0,2019-10,2020-07-04,0.9204207832857142,2020.0
2,3,C10003,2019-10-06,2020-09-17,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,0,2019.0,10.0,2019-10,2020-09-17,0.0,2020.0
3,4,C10004,2019-10-06,2020-08-24,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,,0.0,12,0,2019.0,10.0,2019-10,2020-08-24,0.027438402266666665,2020.0
4,5,C10005,2019-10-06,2020-10-20,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.79123700000002,0.0,12,0,2019.0,10.0,2019-10,2020-10-20,0.0,2020.0
5,6,C10006,2019-10-06,2020-07-27,1809.8287510000002,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,0,2019.0,10.0,2019-10,2020-07-27,0.0,2020.0
6,7,C10007,2019-10-06,2020-10-30,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,198.065894,1.0,12,0,2019.0,10.0,2019-10,2020-10-30,0.0,2020.0
7,8,C10008,2019-10-06,2020-08-06,1823.6527429999999,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.0650820000001,532.03399,0.0,12,0,2019.0,10.0,2019-10,2020-08-06,0.0,2020.0
8,9,C10009,2019-10-06,2020-10-06,1014.9264730000001,1.0,861.49,661.49,200.0,,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,0,2019.0,10.0,2019-10,2020-10-06,,2020.0
9,10,C10010,2019-10-06,2020-05-06,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,100.302262,0.0,12,0,2019.0,10.0,2019-10,2020-05-06,0.0,2020.0
10,11,C10011,2019-10-06,2020-10-20,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,1083.301007,2172.697765,0.0,12,0,2019.0,10.0,2019-10,2020-10-20,0.0,2020.0
11,12,C10012,2019-10-06,2020-05-12,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.618627,155.549069,0.0,12,0,2019.0,10.0,2019-10,2020-05-12,0.0,2020.0
12,13,C10013,2019-10-06,2020-10-09,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26,3000.0,608.263689,490.20701299999996,0.25,12,0,2019.0,10.0,2019-10,2020-10-09,0.0,2020.0
13,14,C10014,2019-10-06,2020-05-28,921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0,26,7500.0,1655.891435,251.13798599999998,0.083333,12,0,2019.0,10.0,2019-10,2020-05-28,0.0,2020.0
14,15,C10015,2019-10-06,2020-10-23,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0,3000.0,805.647974,989.962866,0.0,12,0,2019.0,10.0,2019-10,2020-10-23,0.11560379666666667,2020.0
15,16,C10016,2019-10-06,2020-07-07,6886.213231000001,1.0,1611.7,0.0,1611.7,2301.4912670000003,0.5,0.0,0.5,0.166667,4,11,8000.0,1993.439277,2109.90649,0.0,12,0,2019.0,10.0,2019-10,2020-07-07,0.28768640837500004,2020.0
16,17,C10017,2019-10-06,2020-10-15,2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3,0,3000.0,391.974562,376.579631,0.0,8,0,2019.0,10.0,2019-10,2020-10-15,0.9280915676666667,2020.0
17,18,C10018,2019-10-06,2020-09-21,41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0,8,2500.0,254.590662,73.203221,0.25,12,0,2019.0,10.0,2019-10,2020-09-21,0.0,2020.0
18,19,C10019,2019-10-06,2020-05-03,1989.0722280000002,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0,9,13000.0,1720.837373,744.613395,0.0,12,0,2019.0,10.0,2019-10,2020-05-03,0.0,2020.0
19,20,C10020,2019-10-06,2020-06-30,3577.9709329999996,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0,12,4000.0,1053.980464,12465.54938,0.0,12,0,2019.0,10.0,2019-10,2020-06-30,0.0,2020.0
20,21,C10021,2019-10-06,2020-06-07,2016.6846859999998,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0,8,2000.0,223.0686,13557.29726,0.0,12,0,2019.0,10.0,2019-10,2020-06-07,0.0,2020.0
21,22,C10022,2019-10-06,2020-09-13,6369.531318,1.0,6359.95,5910.04,449.91,229.02824500000003,1.0,0.916667,1.0,0.333333,6,92,11250.0,2077.9590510000003,1659.775075,0.0,12,0,2019.0,10.0,2019-10,2020-09-13,0.020358066222222224,2020.0
22,23,C10023,2019-10-06,2020-07-13,132.34224,0.636364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0,17,1800.0,2359.629958,86.329554,0.0,12,0,2019.0,10.0,2019-10,2020-07-13,0.0,2020.0
23,24,C10024,2019-10-06,2020-06-05,3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626000001,1.0,0.083333,0.916667,0.333333,13,13,9000.0,9479.043842000001,1425.426525,0.0,12,0,2019.0,10.0,2019-10,2020-06-05,0.8860461806666667,2020.0
24,25,C10025,2019-10-06,2020-07-30,5368.5712189999995,1.0,0.0,0.0,0.0,798.9498629999999,0.0,0.0,0.0,0.363636,4,0,6000.0,1422.726707,1657.002877,0.0,11,0,2019.0,10.0,2019-10,2020-07-30,0.1331583105,2020.0
25,26,C10026,2019-10-06,2020-10-27,169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,215.306142,163.005536,0.0,12,0,2019.0,10.0,2019-10,2020-10-27,0.0,2020.0
26,27,C10027,2019-10-06,2020-11-04,1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5,2,1700.0,890.1788449999999,971.183209,0.0,12,0,2019.0,10.0,2019-10,2020-11-04,0.14402381470588235,2020.0
27,28,C10028,2019-10-06,2020-07-31,125.69481699999999,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,207.77371499999998,164.748819,0.0,12,0,2019.0,10.0,2019-10,2020-07-31,0.0,2020.0
28,29,C10029,2019-10-06,2020-08-31,7152.864372,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,10500.0,1601.448347,1648.851345,0.0,12,0,2019.0,10.0,2019-10,2020-08-31,0.21296621514285713,2020.0
29,30,C10030,2019-10-06,2020-07-08,22.063489999999998,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0,5,6900.0,160.767773,159.684442,0.0,12,0,2019.0,10.0,2019-10,2020-07-08,0.0,2020.0
30,31,C10031,2019-10-06,2020-10-11,12136.219959999999,1.0,3038.01,1013.2,2024.81,3183.583301,1.0,0.166667,1.0,0.5,10,64,13000.0,4230.323490999999,3292.01503,0.0,12,0,2019.0,10.0,2019-10,2020-10-11,0.24489102315384617,2020.0
31,32,C10032,2019-10-07,2020-10-10,1162.273324,1.0,1347.71,400.0,947.71,175.815755,1.0,0.083333,1.0,0.166667,2,45,6000.0,645.998299,256.848991,0.0,12,0,2019.0,10.0,2019-10,2020-10-10,0.02930262583333333,2020.0
32,33,C10033,2019-10-07,2020-07-10,6732.823064,1.0,324.95,324.95,0.0,1189.533753,0.083333,0.083333,0.0,0.166667,3,3,10500.0,1720.1188760000002,2506.745366,0.0,12,0,2019.0,10.0,2019-10,2020-07-10,0.11328892885714285,2020.0
33,34,C10034,2019-10-07,2020-06-22,125.660453,1.0,636.79,636.79,0.0,0.0,0.916667,0.916667,0.0,0.0,0,11,1200.0,423.449696,196.301885,0.3,12,0,2019.0,10.0,2019-10,2020-06-22,0.0,2020.0
34,35,C10035,2019-10-07,2020-08-15,3517.1016159999995,0.727273,547.28,0.0,547.28,0.0,1.0,0.0,1.0,0.0,0,14,11000.0,8735.607834999999,17862.55831,0.0,12,0,2019.0,10.0,2019-10,2020-08-15,0.0,2020.0
35,36,C10036,2019-10-07,2020-09-04,1656.350781,1.0,0.0,0.0,0.0,99.26436700000001,0.0,0.0,0.0,0.083333,1,0,1800.0,351.500199,634.5693110000001,0.0,12,0,2019.0,10.0,2019-10,2020-09-04,0.05514687055555556,2020.0
36,37,C10037,2019-10-07,2020-07-17,7427.076940999999,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11,0,9000.0,1636.361601,1986.843608,0.0,11,0,2019.0,10.0,2019-10,2020-07-17,0.9859305606666666,2020.0
37,38,C10038,2019-10-07,2020-05-01,4047.480828,1.0,2380.55,1642.17,738.38,1697.6609010000002,0.75,0.5,0.75,0.333333,7,41,5000.0,1617.894416,1541.141605,0.0,12,0,2019.0,10.0,2019-10,2020-05-01,0.33953218020000003,2020.0
38,39,C10039,2019-10-07,2020-07-19,6269.418144,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.083333,0.0,0.333333,12,2,9000.0,1237.111661,2049.408839,0.0,12,0,2019.0,10.0,2019-10,2020-07-19,0.3250777624444444,2020.0
